City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Oriximina,BR,78.17,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
3,Butaritari,KI,81.5,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
7,Rikitea,PF,77.65,few clouds,-23.1203,-134.9692,People ThankYou
13,Vaini,TO,80.85,overcast clouds,-21.2,-175.2,Keleti Beach Resort
16,Pocone,BR,83.75,clear sky,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
18,Caravelas,BR,85.78,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
21,Townsville,AU,79.68,broken clouds,-19.25,146.8,Rydges Southbank Townsville
22,Mitsamiouli,KM,83.64,overcast clouds,-11.3847,43.2844,Foyer ADM
25,Ugoofaaru,MV,84.2,few clouds,5.6667,73.0,Ungoofaaru Inn
32,Atuona,PF,77.88,light rain,-9.8,-139.0333,Villa Enata
34,Myitkyina,MM,75.72,scattered clouds,25.3833,97.4,Shwe Phyu Hotel
36,Georgetown,MY,84.13,light rain,5.4112,100.3354,Cititel Penang
40,Maragogi,BR,81.32,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
41,Carnarvon,AU,81.32,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
54,San Remigio,PH,80.53,overcast clouds,11.0809,123.9381,San Remigio Cultural Center and Leisure
58,Pedernales,DO,79.88,clear sky,18.0384,-71.744,Hotel Costa Marina
60,Sibolga,ID,77.86,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
65,Puerto Ayora,EC,78.12,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
76,Cayenne,GF,82.44,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
77,Komsomolskiy,UZ,83.12,overcast clouds,40.4272,71.7189,Ikathouse
79,Ambon,ID,82.54,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
85,Atar,MR,88.32,clear sky,20.5169,-13.0499,Oumou Elghoura
86,Vila Velha,BR,85.95,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
92,Serra Talhada,BR,83.98,overcast clouds,-7.9919,-38.2983,Pousada São Luiz
95,Mastung,PK,78.89,few clouds,29.7994,66.845,Al Hasnan Cold Drink Santer
98,Boyolangu,ID,76.77,scattered clouds,-8.1181,111.8935,Yos ega cv
99,Isabela,PH,75.47,overcast clouds,6.7085,121.9711,Isawad Resort
100,Pizarro,CO,78.82,overcast clouds,4.9533,-77.366,Hotel Limonar
103,Bengkulu,ID,78.08,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
107,Saint-Philippe,RE,81.99,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
109,Buta,CD,84.45,overcast clouds,2.7858,24.73,HOTEL BISO NA BISO
113,Shenzhen,CN,77.07,overcast clouds,22.5455,114.0683,Grand Skylight
116,Avarua,CK,75.25,overcast clouds,-21.2078,-159.775,Paradise Inn
119,Mahebourg,MU,81.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
121,Matara,LK,79.9,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
123,Surab,PK,76.42,scattered clouds,28.4914,66.2585,Bismillah Hotel
124,Santa Rita,BR,84.87,broken clouds,-7.1139,-34.9781,Infinity Motel
126,Urubicha,BO,82.08,scattered clouds,-15.3833,-62.95,
128,Santa Rosa,PH,81.1,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
135,Meulaboh,ID,80.19,overcast clouds,4.1363,96.1285,Kost Pria
144,Keshod,IN,86.79,broken clouds,21.3,70.25,Hotel New Rajdhani
147,Port Blair,IN,82.4,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
148,Emilio Carranza,MX,76.98,clear sky,19.9711,-96.6114,Hotel Carranza Inn
153,Paracuru,BR,82.11,overcast clouds,-3.41,-39.0306,Hotel Vento Brasil
157,Hambantota,LK,80.74,overcast clouds,6.1241,81.1185,Bungalow 63
159,Kavieng,PG,80.38,light rain,-2.5744,150.7967,Nusa Island Retreat
162,Auki,SB,76.69,light rain,-8.7676,160.7034,Auki Motel
166,Owando,CG,79.86,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
169,Moerai,PF,80.94,overcast clouds,-22.4333,-151.3333,Le Manotel
176,Richards Bay,ZA,82.44,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
179,Kavaratti,IN,84.29,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
181,Mana,GF,79.43,broken clouds,5.6592,-53.7767,LE SAMANA
189,Adrar,MR,87.03,clear sky,20.5022,-10.0711,
191,Souillac,MU,80.98,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
192,Arecibo,PR,83.26,clear sky,18.4724,-66.7157,Atlantic Sand Oasis
194,Hithadhoo,MV,83.41,clear sky,-0.6,73.0833,Scoop Guest House
198,Menongue,AO,75.78,overcast clouds,-14.6585,17.691,Ritz Lauca
199,Kununurra,AU,78.78,few clouds,-15.7667,128.7333,Hotel Kununurra
201,Mangrol,IN,82.6,broken clouds,21.1167,70.1167,Hotel The Royal Honours
205,Puerto Baquerizo Moreno,EC,77.97,light rain,-0.9,-89.6,Hotel los Algarrobos
209,Tautira,PF,81.79,overcast clouds,-17.7333,-149.15,Pension Oaoa
213,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
215,Arraial Do Cabo,BR,80.46,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
225,Kanniyakumari,IN,84.15,scattered clouds,8.0833,77.5667,Sparsa Kanyakumari
229,Sao Joao Da Barra,BR,82.49,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
230,Tulum,MX,81.05,overcast clouds,20.2167,-87.4667,Kin Ha Tulum
233,Kondoa,TZ,82.89,clear sky,-4.9,35.7833,Bab Al Shams Inland Lodge
236,Bandarbeyla,SO,82.33,few clouds,9.4942,50.8122,JABIR HOTEL
239,Sena Madureira,BR,81.66,broken clouds,-9.0656,-68.6569,Hotel Central
240,Faya,SA,81.12,clear sky,18.3851,42.4509,املاك خالد الشعشوع
245,Padang,ID,79.39,moderate rain,-0.9492,100.3543,Mercure Padang
