City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cape Town,ZA,-33.9258,18.4232,66.11,61,81,5.99,broken clouds
1,Koath,IN,25.3167,84.2667,91.31,5,1,5.48,clear sky
2,Oriximina,BR,-1.7656,-55.8661,78.17,90,89,3.29,overcast clouds
3,Butaritari,KI,3.0707,172.7902,81.5,75,100,22.82,overcast clouds
4,Pangnirtung,CA,66.1451,-65.7125,-0.4,92,100,5.75,mist
5,Laguna,US,38.421,-121.4238,56.17,56,0,5.75,clear sky
6,Northam,GB,51.0333,-4.2167,55.38,89,19,27.74,few clouds
7,Rikitea,PF,-23.1203,-134.9692,77.65,70,16,16.4,few clouds
8,Qaanaaq,GL,77.484,-69.3632,8.89,94,100,2.21,overcast clouds
9,Saldanha,ZA,-33.0117,17.9442,62.29,63,46,16.08,scattered clouds
10,Bilma,NE,18.6853,12.9164,106.29,4,11,14.36,few clouds
11,Nishinomiya,JP,34.7167,135.3333,60.21,57,13,4.47,few clouds
12,Hearst,CA,49.6835,-83.6665,33.87,90,100,10.6,overcast clouds
13,Vaini,TO,-21.2,-175.2,80.85,74,100,11.14,overcast clouds
14,Santiago,CL,-33.4569,-70.6483,73.29,42,0,2.3,clear sky
15,Teruel,ES,40.6667,-0.6667,49.98,32,21,14.27,few clouds
16,Pocone,BR,-16.2567,-56.6228,83.75,64,0,3.76,clear sky
17,Yellowknife,CA,62.456,-114.3525,3.56,84,100,5.99,overcast clouds
18,Caravelas,BR,-17.7125,-39.2481,85.78,60,39,4.63,scattered clouds
19,Baykit,RU,61.67,96.37,37.29,98,100,7.2,light rain
20,Ixtapa,MX,20.7,-105.2,69.03,83,100,3.44,overcast clouds
21,Townsville,AU,-19.25,146.8,79.68,74,75,8.05,broken clouds
22,Mitsamiouli,KM,-11.3847,43.2844,83.64,70,100,2.01,overcast clouds
23,Hermanus,ZA,-34.4187,19.2345,62.8,61,99,19.17,overcast clouds
24,Jamestown,US,42.097,-79.2353,51.39,79,100,9.22,overcast clouds
25,Ugoofaaru,MV,5.6667,73.0,84.2,68,11,7.2,few clouds
26,Ushuaia,AR,-54.8,-68.3,40.62,81,75,27.63,broken clouds
27,Nelson Bay,AU,-32.7167,152.15,73.0,89,35,10.0,scattered clouds
28,Hobart,AU,-42.8794,147.3294,52.05,81,0,5.75,clear sky
29,Jabinyanah,TN,35.035,10.9081,71.55,59,78,11.83,broken clouds
30,Provideniya,RU,64.3833,-173.3,-1.1,90,100,5.53,overcast clouds
31,Kutum,SD,14.2,24.6667,96.17,9,5,11.52,clear sky
32,Atuona,PF,-9.8,-139.0333,77.88,78,29,19.04,light rain
33,Rathdrum,US,47.8137,-116.892,31.23,83,0,9.22,clear sky
34,Myitkyina,MM,25.3833,97.4,75.72,59,48,4.92,scattered clouds
35,Punta Arenas,CL,-53.15,-70.9167,41.11,65,40,9.13,scattered clouds
36,Georgetown,MY,5.4112,100.3354,84.13,74,40,2.3,light rain
37,Coihaique,CL,-45.5752,-72.0662,42.75,87,100,5.75,moderate rain
38,Saint George,US,37.1041,-113.5841,50.63,30,0,16.11,clear sky
39,Eberbach,DE,49.4694,8.9928,56.19,84,100,12.37,overcast clouds
40,Maragogi,BR,-9.0122,-35.2225,81.32,75,35,8.41,scattered clouds
41,Carnarvon,AU,-24.8667,113.6333,81.32,68,96,18.43,overcast clouds
42,Aksarka,RU,66.5606,67.7975,18.99,83,100,16.87,light snow
43,Bredasdorp,ZA,-34.5322,20.0403,62.24,51,98,21.97,overcast clouds
44,Shenjiamen,CN,29.9576,122.298,57.45,87,100,7.7,overcast clouds
45,Upernavik,GL,72.7868,-56.1549,1.76,94,27,8.57,scattered clouds
46,Sao Filipe,CV,14.8961,-24.4956,71.71,72,3,12.08,clear sky
47,Kruisfontein,ZA,-34.0033,24.7314,68.88,54,7,30.85,clear sky
48,Dikson,RU,73.5069,80.5464,2.89,87,73,21.21,broken clouds
49,Anadyr,RU,64.75,177.4833,-5.3,77,0,11.18,clear sky
50,Verkhoyansk,RU,67.5447,133.385,-9.04,100,100,1.54,overcast clouds
51,Port Lincoln,AU,-34.7333,135.8667,61.65,79,18,17.94,few clouds
52,Tuktoyaktuk,CA,69.4541,-133.0374,-0.99,93,71,12.01,broken clouds
53,Svetlaya,RU,46.5389,138.3297,29.39,64,8,11.7,clear sky
54,San Remigio,PH,11.0809,123.9381,80.53,81,100,9.8,overcast clouds
55,Kapaa,US,22.0752,-159.319,67.98,98,75,5.75,broken clouds
56,Galveston,US,29.3669,-94.9669,74.17,93,100,11.5,mist
57,East London,ZA,-33.0153,27.9116,71.91,59,10,20.85,clear sky
58,Pedernales,DO,18.0384,-71.744,79.88,66,10,4.34,clear sky
59,Sechura,PE,-5.5569,-80.8222,71.65,74,6,9.33,clear sky
60,Sibolga,ID,1.7427,98.7792,77.86,87,51,3.69,broken clouds
