City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Abu Zabad,SD,2022-04-03 15:02:53,12.35,29.25,103.06,7,68,8.59
1,Spencer,US,2022-04-03 15:02:54,43.1414,-95.1444,37.51,70,100,14.97
2,Ribeira Grande,PT,2022-04-03 14:57:58,38.5167,-28.7,64.8,72,40,13.8
3,San Cristobal,VE,2022-04-03 15:02:54,7.7669,-72.225,76.33,62,100,6.55
4,San Patricio,US,2022-04-03 15:02:54,28.017,-97.5169,73.49,65,0,7.4
5,Saskylakh,RU,2022-04-03 14:59:08,71.9167,114.0833,-5.12,98,100,8.37
6,Umm Kaddadah,SD,2022-04-03 15:02:55,13.6017,26.6876,101.37,5,99,5.5
7,Tasiilaq,GL,2022-04-03 15:02:55,65.6145,-37.6368,32.16,86,100,3.24
8,East London,ZA,2022-04-03 15:01:25,-33.0153,27.9116,74.34,82,59,18.99
9,Iralaya,HN,2022-04-03 15:02:55,15.0,-83.2333,79.97,79,46,9.91
10,Port Alfred,ZA,2022-04-03 15:02:56,-33.5906,26.891,76.17,79,71,5.01
11,Rikitea,PF,2022-04-03 15:02:56,-23.1203,-134.9692,75.87,64,41,8.79
12,Great Yarmouth,GB,2022-04-03 15:01:47,52.6083,1.7305,52.07,56,79,8.9
13,Mahebourg,MU,2022-04-03 15:02:56,-20.4081,57.7,79.25,78,75,12.66
14,Vaini,TO,2022-04-03 15:02:57,-21.2,-175.2,79.38,76,5,6.38
15,Dikson,RU,2022-04-03 15:02:57,73.5069,80.5464,-0.2,99,83,9.8
16,Hobart,AU,2022-04-03 15:01:27,-42.8794,147.3294,57.06,93,100,4.61
17,New Norfolk,AU,2022-04-03 15:02:57,-42.7826,147.0587,56.7,87,99,0.56
18,Cape Town,ZA,2022-04-03 15:00:04,-33.9258,18.4232,76.1,63,0,11.99
19,Mataura,NZ,2022-04-03 15:02:58,-46.1927,168.8643,45.3,98,53,1.83
20,Saint-Philippe,RE,2022-04-03 15:02:58,-21.3585,55.7679,74.79,88,100,16.73
21,Ushuaia,AR,2022-04-03 15:02:58,-54.8,-68.3,42.46,70,38,8.93
22,Sumbe,AO,2022-04-03 15:02:59,-11.2061,13.8437,80.98,76,99,6.46
23,Busselton,AU,2022-04-03 15:02:04,-33.65,115.3333,63.21,82,76,15.19
24,Marsh Harbour,BS,2022-04-03 15:02:59,26.5412,-77.0636,77.45,75,60,12.57
25,Cidreira,BR,2022-04-03 15:02:59,-30.1811,-50.2056,71.82,79,100,16.13
26,Punta Arenas,CL,2022-04-03 14:58:46,-53.15,-70.9167,42.12,81,21,26.49
27,Muli,MV,2022-04-03 15:03:00,2.9167,73.5667,83.57,64,9,2.77
28,Vestmannaeyjar,IS,2022-04-03 15:03:00,63.4427,-20.2734,43.79,100,40,19.57
29,Arraial Do Cabo,BR,2022-04-03 15:03:00,-22.9661,-42.0278,78.06,79,16,5.86
30,Palmer,US,2022-04-03 15:03:01,42.1584,-72.3287,49.86,39,100,4.61
31,Saint George,US,2022-04-03 14:58:22,37.1041,-113.5841,60.26,38,100,3.0
32,Troitskoye,RU,2022-04-03 15:03:01,52.9821,84.6757,37.11,96,100,7.85
33,Vitoria Do Mearim,BR,2022-04-03 15:02:28,-3.4622,-44.8706,87.1,66,90,4.81
34,Bredasdorp,ZA,2022-04-03 15:01:57,-34.5322,20.0403,67.44,70,71,12.82
35,Georgetown,MY,2022-04-03 15:03:02,5.4112,100.3354,78.73,89,40,0.0
36,Lebu,CL,2022-04-03 15:03:02,-37.6167,-73.65,55.31,59,7,9.78
37,Mar Del Plata,AR,2022-04-03 15:03:02,-38.0023,-57.5575,70.88,72,27,17.0
38,Jamestown,US,2022-04-03 15:03:03,42.097,-79.2353,33.53,74,100,14.97
39,Beyneu,KZ,2022-04-03 15:03:04,45.3167,55.2,71.71,26,6,11.21
40,Barrow,US,2022-04-03 15:03:04,71.2906,-156.7887,-7.58,71,100,12.66
41,Tessalit,ML,2022-04-03 15:03:05,20.1986,1.0114,101.7,7,1,7.29
42,Tuatapere,NZ,2022-04-03 15:03:06,-46.1333,167.6833,48.4,92,57,2.95
43,Tual,ID,2022-04-03 15:03:06,-5.6667,132.75,82.42,66,26,5.99
44,Abu Samrah,SY,2022-04-03 15:03:06,35.3029,37.1841,70.95,32,39,10.78
45,Yellowknife,CA,2022-04-03 15:03:07,62.456,-114.3525,5.41,80,89,11.01
46,Dunedin,NZ,2022-04-03 15:04:07,-45.8742,170.5036,56.8,75,32,3.6
47,Jaisalmer,IN,2022-04-03 15:04:07,26.9147,70.9181,93.72,7,4,7.43
48,Butaritari,KI,2022-04-03 15:04:08,3.0707,172.7902,81.21,71,65,14.83
49,Bluff,NZ,2022-04-03 15:04:08,-46.6,168.3333,56.95,73,62,11.79
50,Avera,US,2022-04-03 14:59:57,33.194,-82.5271,66.54,42,0,13.27
51,Hilo,US,2022-04-03 15:04:08,19.7297,-155.09,71.26,99,100,1.01
52,Nizhnevartovsk,RU,2022-04-03 15:04:09,60.9344,76.5531,30.22,43,0,6.71
53,Nipawin,CA,2022-04-03 15:04:09,53.3668,-104.0009,26.64,93,100,6.91
54,Kodinsk,RU,2022-04-03 15:04:09,58.6881,99.1844,16.03,96,100,2.75
55,Grindavik,IS,2022-04-03 15:04:10,63.8424,-22.4338,45.07,81,75,20.71
56,Tilichiki,RU,2022-04-03 15:04:10,60.4667,166.1,7.83,92,100,7.0
57,Chokurdakh,RU,2022-04-03 15:04:10,70.6333,147.9167,-20.29,100,50,3.42
58,Bethel,US,2022-04-03 14:59:54,41.3712,-73.414,48.18,74,100,1.99
59,Westport,US,2022-04-03 15:04:11,41.1415,-73.3579,49.91,74,100,9.22
60,Punta,PH,2022-04-03 15:04:11,8.9897,125.34,75.18,90,42,3.09
